Date,Prediction
2019-08-23,1709.5408243168172
2019-08-26,1709.542203445605
2019-08-27,1709.5445891207637
2019-08-28,1709.542317346458
2019-08-29,1709.5413025892997
2019-08-30,1709.5437167490861
2019-09-03,1709.543488774736
2019-09-04,1709.541518438589
2019-09-05,1709.5426119466588
2019-09-06,1709.5438066426661
2019-09-09,1709.54232284888
2019-09-11,1709.5419723713856
2019-09-12,1709.5434068850784
2019-09-13,1709.543054478453
2019-09-16,1709.5419825221115
2019-09-17,1709.5427736597896
2019-09-18,1709.543334239214
2019-09-19,1709.5423991238645
2019-09-20,1709.5423435015466
2019-09-23,1709.5431722733213
2019-09-24,1709.542842494577
2019-09-25,1709.542280670341
2019-09-26,1709.542819962826
2019-09-27,1709.5430569819378
2019-09-30,1709.542485652939
2019-10-01,1709.5425422946703
2019-10-03,1709.5430073640298
2019-10-04,1709.542746824338
2019-10-07,1709.5424659419994
2019-10-09,1709.5428177554343
2019-10-10,1709.5428988060285
2019-10-11,1709.5425596105842
2019-10-14,1709.5426445028058
2019-10-15,1709.5428972576217
2019-10-16,1709.5427091710446
2019-10-17,1709.542577697054
2019-10-18,1709.5427991934719
2019-10-22,1709.5428112447967
2019-10-23,1709.5426154494048
2019-10-24,1709.5426942947802
2019-10-25,1709.5428265980588
2019-10-29,1709.5426985815989
2019-10-30,1709.5426432305703
2019-10-31,1709.5427784362255
2019-11-01,1709.542764396264
2019-11-04,1709.5426546266513
2019-11-05,1709.5427166978614
2019-11-06,1709.5427827314875
2019-11-07,1709.5426993178835
2019-11-08,1709.5426805843804
2019-11-11,1709.5427607861373
2019-11-13,1709.5427403436008
2019-11-14,1709.5426807490473
2019-11-15,1709.5427254626784
2019-11-18,1709.5427562946318
2019-11-19,1709.5427038313242
2019-11-20,1709.542701242161
2019-11-21,1709.5427474971
2019-11-22,1709.5427286490287
2019-11-25,1709.5426974944733
2019-11-26,1709.5427278816012
2019-11-27,1709.5427408053083
2019-11-28,1709.5427088095953
2019-11-29,1709.542712282285
2019-12-02,1709.5427381902612
2019-12-03,1709.5427234035542
2019-12-04,1709.542707880426
2019-12-05,1709.542727656816
2019-12-06,1709.542731984321
2019-12-09,1709.5427130213532
2019-12-10,1709.5427179423184
2019-12-11,1709.5427319930327
2019-12-12,1709.5427213638782
2019-12-13,1709.5427141341822
2019-12-16,1709.5427265602038
2019-12-17,1709.5427271108144
2019-12-18,1709.542716183791
2019-12-19,1709.5427206888044
2019-12-20,1709.5427280247002
2019-12-23,1709.542720812031
2019-12-24,1709.542717795099
2019-12-26,1709.5427253665148
2019-12-27,1709.5427245092467
2019-12-30,1709.5427183945947
2019-12-31,1709.5427219168284
2020-01-01,1709.5427255657657
2020-01-02,1709.542720877169
2020-01-03,1709.542719878089
2020-01-06,1709.5427243615902
2020-01-07,1709.5427231774047
2020-01-08,1709.54271986476
2020-01-09,1709.542722391348
2020-01-10,1709.542724086451
2020-01-13,1709.5427211434117
2020-01-14,1709.5427210277917
2020-01-15,1709.5427236090634
2020-01-16,1709.542722532437
2020-01-17,1709.542720805147
2020-01-20,1709.5427225170731
2020-01-21,1709.5427232212126
2020-01-22,1709.5427214295723
2020-01-23,1709.542721640818
2020-01-24,1709.5427230839193
2020-01-27,1709.5427222449796
2020-01-28,1709.5427213872977
2020-01-29,1709.5427224988364
2020-01-30,1709.542722729349
2020-01-31,1709.5427216693222
2020-02-03,1709.542721954193
2020-02-04,1709.5427227351656
2020-02-05,1709.5427221346183
2020-02-06,1709.5427217372178
2020-02-07,1709.5427224342416
2020-02-10,1709.5427224581329
2020-02-11,1709.5427218483803
2020-02-12,1709.5427221056418
2020-02-13,1709.5427225123262
2020-02-14,1709.5427221060168
2020-02-17,1709.5427219417065
2020-02-18,1709.5427223656548
2020-02-19,1709.542722313686
2020-02-20,1709.542721973114
2020-02-24,1709.5427221729208
2020-02-25,1709.542722374506
2020-02-26,1709.542722110999
2020-02-27,1709.5427220578486
2020-02-28,1709.5427223084623
2020-03-02,1709.5427222399544
2020-03-03,1709.542722055843
2020-03-04,1709.5427221985801
2020-03-05,1709.5427222917374
2020-03-06,1709.5427221266602
2020-03-09,1709.5427221218265
2020-03-11,1709.5427222658593
2020-03-12,1709.5427222043945
2020-03-13,1709.5427221086463
2020-03-16,1709.5427222050762
2020-03-17,1709.5427222434098
2020-03-18,1709.5427221430955
2020-03-19,1709.5427221558607
2020-03-20,1709.5427222362332
2020-03-23,1709.5427221886498
2020-03-24,1709.5427221412733
2020-03-25,1709.5427222037397
2020-03-26,1709.5427222159865
2020-03-27,1709.5427221567375
2020-03-30,1709.5427221732077
2020-03-31,1709.54272221661
2020-04-01,1709.542722182686
2020-04-03,1709.5427221608506
2020-04-07,1709.542722199945
2020-04-08,1709.542722200895
2020-04-09,1709.542722166873
2020-04-13,1709.5427221815564
2020-04-15,1709.542722204098
2020-04-16,1709.542722181213
2020-04-17,1709.5427221722716
2020-04-20,1709.5427221960074
2020-04-21,1709.5427221928762
2020-04-22,1709.5427221739094
2020-04-23,1709.5427221852403
2020-04-24,1709.542722196374
2020-04-27,1709.5427221815662
2020-04-28,1709.5427221787463
2020-04-29,1709.5427221927534
2020-04-30,1709.5427221887949
2020-05-04,1709.5427221785637
2020-05-05,1709.542722186626
2020-05-06,1709.5427221917435
2020-05-07,1709.5427221824852
2020-05-08,1709.5427221823063
2020-05-11,1709.5427221903424
2020-05-12,1709.5427221868351
2020-05-13,1709.5427221815285
2020-05-14,1709.5427221869593
2020-05-15,1709.5427221890443
2020-05-18,1709.5427221834282
2020-05-19,1709.542722184195
2020-05-20,1709.542722188671
2020-05-21,1709.542722185973
2020-05-22,1709.5427221833565
2020-05-26,1709.5427221868665
2020-05-27,1709.5427221875152
2020-05-28,1709.542722184204
2020-05-29,1709.542722185155
2020-06-01,1709.5427221875668
2020-06-02,1709.542722185651
2020-06-03,1709.5427221844518
2020-06-04,1709.5427221866444
2020-06-05,1709.542722186676
2020-06-08,1709.5427221847779
2020-06-09,1709.5427221856155
2020-06-10,1709.5427221868647
2020-06-11,1709.542722185576
2020-06-12,1709.5427221850898
2020-06-15,1709.5427221864186
2020-06-16,1709.542722186231
2020-06-17,1709.5427221851749
2020-06-18,1709.5427221858172
2020-06-19,1709.542722186432
2020-06-22,1709.5427221856
2020-06-23,1709.5427221854509
2020-06-24,1709.5427221862337
2020-06-25,1709.5427221860052
2020-06-26,1709.5427221854368
2020-06-29,1709.542722185892
2020-06-30,1709.542722186173
2020-07-01,1709.542722185654
2020-07-02,1709.542722185649
2020-07-03,1709.5427221860973
2020-07-06,1709.5427221858972
2020-07-07,1709.5427221856032
2020-07-08,1709.542722185909
2020-07-09,1709.5427221860223
2020-07-10,1709.5427221857078
2020-07-13,1709.5427221857537
2020-07-14,1709.542722186003
2020-07-15,1709.54272218585
2020-07-16,1709.5427221857055
2020-07-17,1709.5427221859027
2020-07-20,1709.542722185937
2020-07-21,1709.542722185752
2020-07-22,1709.5427221858067
2020-07-23,1709.5427221859406
2020-07-24,1709.5427221858324
2020-07-27,1709.5427221857665
2020-07-28,1709.5427221858895
2020-07-29,1709.54272218589
2020-07-30,1709.542722185784
2020-07-31,1709.5427221858317
2020-08-03,1709.5427221859009
2020-08-04,1709.5427221858283
2020-08-05,1709.542722185802
2020-08-06,1709.5427221858763
2020-08-07,1709.5427221858652
2020-08-10,1709.5427221858063
2020-08-11,1709.5427221858426
2020-08-12,1709.5427221858765
2020-08-13,1709.5427221858297
2020-08-14,1709.5427221858217
2020-08-17,1709.5427221858654
2020-08-18,1709.5427221858522
2020-08-19,1709.5427221858206
2020-08-20,1709.5427221858463
2020-08-21,1709.5427221858617
2020-08-24,1709.5427221858326
2020-08-25,1709.5427221858326
2020-08-26,1709.5427221858577
2020-08-27,1709.5427221858463
2020-08-28,1709.54272218583
2020-08-31,1709.5427221858472
2020-09-01,1709.5427221858533
2020-09-02,1709.5427221858358
2020-09-03,1709.5427221858386
2020-09-04,1709.5427221858524
2020-09-07,1709.5427221858438
2020-09-08,1709.5427221858358
2020-09-09,1709.542722185847
2020-09-10,1709.5427221858488
2020-09-11,1709.5427221858386
2020-09-14,1709.5427221858417
2020-09-15,1709.5427221858492
2020-09-16,1709.542722185843
2020-09-17,1709.5427221858395
2020-09-18,1709.5427221858463
2020-09-21,1709.5427221858463
2020-09-22,1709.5427221858404
2020-09-23,1709.542722185843
2020-09-24,1709.542722185847
2020-09-28,1709.5427221858429
